,B2,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bad,complete,subject_a,role_a,donation_a,donate_a,role_p,subject_p,donation_p,donate_p,age_a,gender_a,race_a,edu_a,marital_a,employment_a,income_a,religion_a,ideology_a,pt_overall_a,pt_competence1_a,pt_competence2_a,pt_competence3_a,pt_competence4_a,pt_warmth1_a,pt_warmth2_a,pt_warmth3_a,pt_warmth4_a,pt_engagement_a,pt_as1_a,pt_as2_a,pt_as3_a,pt_as4_a,pt_defensive1_a,pt_defensive2_a,pt_defensive3_a,pt_defensive4_a,pt_defensive5_a,angry_a,guilty_a,enthusiastic_a,proud_a,inspired_a,ashamed_a,moral1_a,moral2_a,moral3_a,age_p,gender_p,race_p,edu_p,marital_p,employment_p,income_p,religion_p,ideology_p,pt_overall_p,pt_competence1_p,pt_competence2_p,pt_competence3_p,pt_competence4_p,pt_warmth1_p,pt_warmth2_p,pt_warmth3_p,pt_warmth4_p,pt_engagement_p,pt_as1_p,pt_as2_p,pt_as3_p,pt_as4_p,pt_defensive1_p,pt_defensive2_p,pt_defensive3_p,pt_defensive4_p,pt_defensive5_p,angry_p,guilty_p,enthusiastic_p,proud_p,inspired_p,ashamed_p,moral1_p,moral2_p,moral3_p,bf_extrovert1_a,bf_extrovert2_a,bf_extrovert3_a,bf_extrovert4_a,bf_extrovert5_a,bf_agreeable1_a,bf_agreeable2_a,bf_agreeable3_a,bf_agreeable4_a,bf_agreeable5_a,bf_conscientious1_a,bf_conscientious2_a,bf_conscientious3_a,bf_conscientious4_a,bf_conscientious5_a,bf_neurotic1_a,bf_neurotic2_a,bf_neurotic3_a,bf_neurotic4_a,bf_neurotic5_a,bf_open1_a,bf_open2_a,bf_open3_a,bf_open4_a,bf_open5_a,mf_care1_a,mf_fair1_a,mf_loyalty1_a,mf_authority1_a,mf_purity1_a,mf_care2_a,mf_authority2_a,mf_care3_a,mf_fair2_a,mf_purity2_a,mf_free1_a,mf_care4_a,mf_fair3_a,mf_authority3_a,mf_unused_a,mf_fair4_a,mf_loyalty2_a,mf_authority4_a,mf_care5_a,mf_loyalty3_a,mf_authority5_a,mf_purity3_a,mf_free2_a,pv_conform_a,pv_tradition_a,pv_benevolence_a,pv_universalism_a,pv_self_direction_a,pv_stimulation_a,pv_hedonism_a,pv_achievement_a,pv_power_a,pv_security_a,ssi1_a,ssi3_a,ssi6_a,ssi8_a,ds_rational1_a,ds_rational2_a,ds_intuitive1_a,ds_intuitive2_a,bf_extrovert1_p,bf_extrovert2_p,bf_extrovert3_p,bf_extrovert4_p,bf_extrovert5_p,bf_agreeable1_p,bf_agreeable2_p,bf_agreeable3_p,bf_agreeable4_p,bf_agreeable5_p,bf_conscientious1_p,bf_conscientious2_p,bf_conscientious3_p,bf_conscientious4_p,bf_conscientious5_p,bf_neurotic1_p,bf_neurotic2_p,bf_neurotic3_p,bf_neurotic4_p,bf_neurotic5_p,bf_open1_p,bf_open2_p,bf_open3_p,bf_open4_p,bf_open5_p,mf_care1_p,mf_fair1_p,mf_loyalty1_p,mf_authority1_p,mf_purity1_p,mf_care2_p,mf_authority2_p,mf_care3_p,mf_fair2_p,mf_purity2_p,mf_free1_p,mf_care4_p,mf_fair3_p,mf_authority3_p,mf_unused_p,mf_fair4_p,mf_loyalty2_p,mf_authority4_p,mf_care5_p,mf_loyalty3_p,mf_authority5_p,mf_purity3_p,mf_free2_p,pv_conform_p,pv_tradition_p,pv_benevolence_p,pv_universalism_p,pv_self_direction_p,pv_stimulation_p,pv_hedonism_p,pv_achievement_p,pv_power_p,pv_security_p,ssi1_p,ssi3_p,ssi6_p,ssi8_p,ds_rational1_p,ds_rational2_p,ds_intuitive1_p,ds_intuitive2_p,bf_agreeable_a,bf_agreeable_p,bf_extrovert_a,bf_extrovert_p,bf_neurotic_a,bf_neurotic_p,bf_open_a,bf_open_p,bf_conscientious_a,bf_conscientious_p,pt_competence_a,pt_competence_p,pt_warmth_a,pt_warmth_p,pt_as_a,pt_as_p,pt_defensive_a,pt_defensive_p,E2_a,L1_a,L3_a,P1_a,TF_a,other_a,A1_p,A3_p,A5_p,A6_p,A11_p,A12_p,A16_p,A17_p,A18_p,A19_p,visit_a,trial_a,visit_p,trial_p
548,20180830-182037_288,other,other,other,pro,task,cre,cre,emo,log,other,0,1,A1IJ56N5Z4TT46,0,0.5,1,1,A1WR3WTEHJEY2D,0.5,1,55,Male,Asian/Asian American,4,Married,Employed for wages,9,Buddhist,3,5,4,4,4,4,4,4,4,4,5,4,4,4,4,2,2,2,2,4,1,1,2,2,2,1,3,3,3,39,Female,White/Caucasian,3,Married,Employed for wages,8,Agnostic,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,1,1,3,1,1,1,4,4,4,4.666666667,4,3,2,3.333333333,4.333333333,4.333333333,4.333333333,1.333333333,1.333333333,5,4.333333333,5,1,1,4,1.333333333,3.333333333,1,1,4,4.333333333,4,4,1,4.333333333,4,4.333333333,4.333333333,3.666666667,4,3.333333333,4.666666667,5,3.666666667,4,3.666666667,5,5,6,3.666666667,3,4,4,5,4.666666667,3.666666667,4.333333333,5,4.333333333,5,4.333333333,5,3.666666667,2.333333333,2.333333333,2.333333333,4,2,3,5,3.333333333,4,4,3.333333333,3,2,2,1,4,4,4,4.5,4,2,1,4.5,4,4.5,3,1.5,4.5,1.5,2,1,2,2,4.5,4,4,2,5,5.5,3.5,2,2,4.5,1.5,5.5,6,1.5,5.5,4.5,5.5,2,6,6,3,1,5,5,2.5,2,5.5,2,2,3.5,5.5,5,3,3,3,3,3,2,4,4.5,2,4,4,2,2,10.33333333,9.5,6.333333333,-3,2.666666667,2,15.33333333,12.5,12.33333333,8.5,16,14,16,16,16,16,12,8,1,2,1,1,1,5,2,2,1,0,0,0,4,0,0,1,2,1,2,1
549,20180830-182713_515,other,emo,emo,emo,emo,emo,log,emo,other,emo,0,1,ACNHKXWKZRUZ5,0,0,0,1,A21XG1MW1PW6TP,1,1,44,Male,White/Caucasian,4,Married,Employed for wages,3,Agnostic,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,1,1,4,3,4,1,4,4,4,30,Male,White/Caucasian,4,Living with partner,Employed for wages,9,Agnostic,4,3,2,2,4,2,2,3,1,2,2,3,4,4,4,2,2,2,2,3,1,1,2,2,2,1,3,4,4,4,4.076923077,3.923076923,3.230769231,3.461538462,3.307692308,3.461538462,3.692307692,3.153846154,3.076923077,4.076923077,4.461538462,4.076923077,2.692307692,2,2.923076923,3.153846154,3.384615385,3.153846154,3,3.384615385,3.692307692,2.923076923,3.230769231,2.769230769,3.538461538,4.307692308,2.538461538,3.076923077,2.769230769,3.538461538,2.769230769,3.230769231,4.615384615,1.384615385,2.461538462,4.153846154,4.230769231,3.230769231,4.923076923,5,2.692307692,5.615384615,2,3.153846154,2.307692308,5.153846154,4.461538462,3.153846154,3.076923077,3.384615385,3.153846154,3.153846154,3.230769231,3.384615385,3.769230769,3.846153846,3.461538462,2.076923077,2.538461538,3.923076923,3.846153846,4,4.076923077,2.230769231,2.230769231,2,4,1,1,4,5,5,4,1,1,5,4,5,2,1,4,2,4,1,1,5,5,4,5,1,6,5,3,4,2,6,2,6,6,1,6,6,6,2,6,4,3,4,5,3,5,1,6,2,2,5,5,6,4,3,4,5,3,1,2,4,2,5,5,2,1,4.230769231,12,5.307692308,2,9.769230769,4,10.46153846,18,7.923076923,11,16,10,16,8,16,15,12,11,7,0,2,0,0,2,0,0,4,1,0,0,4,0,0,2,9,2,1,1
552,20180830-185013_499,other,other,cre,emo,emo,emo,log,task,other,other,0,1,A2LV5432PV1S39,0,0,0,1,AEZSDZ4PS9CAC,0.2,1,31,Male,White/Caucasian,4,Never been married,Employed for wages,5,Jewish,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,1,5,5,5,29,Female,White/Caucasian,4,Married,A homemaker,4,Protestant (Baptist Methodist Non-denominational etc.),2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,1,1,1,1,4,1,1,2,2,2,1,4,4,4,3.166666667,1,1,5,5,2.166666667,2.833333333,3.333333333,4.666666667,4.333333333,5,4.5,4.666666667,1.833333333,1,4.666666667,2.666666667,3.333333333,1.666666667,2,2.833333333,4.333333333,1.666666667,3.166666667,5,5,5.333333333,2.833333333,3.666666667,3.833333333,4.5,3.833333333,4.166666667,3.666666667,2,5.166666667,5.5,5.666666667,6,5.833333333,6,5.5,5.333333333,5.333333333,3.666666667,4.833333333,4,5.333333333,5.166666667,6,6,5.833333333,5.666666667,5.333333333,5.5,6,6,5.833333333,2,2.666666667,4,3,4.666666667,4.5,1.833333333,2.166666667,2,2,1.833333333,4,4.166666667,3.5,4,4,2,2,4,4.166666667,4,1.833333333,1.833333333,4.166666667,2,2,2,2,3,4,2,2.833333333,2,5,5,4.833333333,5,5,5,5,5,5,6,5,5,5,5,5.833333333,5,4.166666667,4,4.333333333,4.5,4,5,5,5,5.166666667,5,5,2.666666667,2.333333333,2.333333333,2.333333333,2.333333333,4.833333333,2,4,4.166666667,4,4,4,1.833333333,1.833333333,-0.666666667,7.5,-4.833333333,-2.333333333,5,3.833333333,7,9.833333333,11.33333333,8.5,20,20,20,20,20,16,5,8,3,1,1,0,1,4,1,0,2,0,0,0,4,1,0,2,5,5,2,1
553,20180830-185816_181,other,emo,emo,other,other,emo,emo,emo,task,other,0,1,A8ZVWXIWNBF0V,0,0.3,1,1,A32TU4V399YZUG,0,0,62,Male,White/Caucasian,3,Never been married,Employed for wages,1,Protestant (Baptist Methodist Non-denominational etc.),4,4,4,4,5,4,4,3,4,4,4,3,4,3,3,2,1,1,1,3,1,1,3,3,4,1,3,4,4,32,Female,Black/African American,4,Married,A homemaker,4,Other,2,4,4,4,2,3,3,3,1,3,4,1,3,3,3,3,3,2,3,1,1,1,1,1,1,1,3,3,3,2,2,1,4,5,2,4,4,3,2,4,3,4,2,1,4,1,1,1,2,3,2,4,4,1,5,5,1,1,3,4,3,5,4,1,4,5,4,3,6,5,4,5,5,4,5,4,5,2,3,6,6,5,4,2,1,3,2,2,4,5,2,4,4,2,1,5,4,2,3,5,5,5,5,1,1,5,5,3,1,1,5,2,3,1,1,5,5,2,4,2,6,6,4,5,6,6,4,6,6,6,4,6,6,6,6,5,1,4,5,3,6,4,1,5,4,6,6,5,3,3,5,2,6,1,4,5,5,5,5,5,2,5,13,-4,3,1,2,12,14,8,11,17,13,15,10,13,10,8,12,5,0,0,0,1,5,1,1,0,0,0,0,7,0,0,2,1,1,1,1
554,20180830-185954_395,other,emo,cre,emo,cre,emo,log,other,log,other,0,1,A1MX59NU79XETH,0,0.25,1,1,A2BMBZIKASUXSY,0.25,1,37,Male,White/Caucasian,6,Married,Employed for wages,10,Protestant (Baptist Methodist Non-denominational etc.),4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,1,1,1,5,1,1,4,5,4,1,4,4,5,45,Female,White/Caucasian,3,Never been married,Employed for wages,4,Protestant (Baptist Methodist Non-denominational etc.),5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,1,1,1,1,5,1,1,4,4,4,1,3,4,4,5,5,5,1,1,5,5,4,1,1,5,5,4,1,1,4,2,2,1,1,4,4,2,4,1,4,5,3,3,4,5,3,4,5,5,4,6,4,4,6,5,2,2,4,3,2,4,4,5,6,6,6,2,5,4,5,5,4,2,3,5,4,4,4,1,2,5,5,3.75,1,3.25,4.75,5,5,1,1,5,4,4.25,1.25,1,5,1,1,1,1,4,4.75,4.25,5,1,6,6,1,2.5,3.5,5.75,1.25,6,6,1,6,6,5.75,4,6,5.5,3.75,5,2.25,3,3.75,3,6,4.25,3.25,6,6,5.75,4.75,4.25,3.25,3.25,4.5,1,4.5,5,1.75,4.75,4.75,1.25,2,12,12.75,13,9.5,2,-1,13,17,12,11,20,20,20,20,20,14,9,9,3,2,2,0,0,3,1,0,0,1,0,0,4,1,0,3,1,1,1,1
555,20180830-190109_662,other,other,cre,task,log,other,other,task,other,other,0,1,A1RD4IXKQU7UHR,0,0.5,1,1,A37S83JU0UTYQJ,0.5,1,26,Female,White/Caucasian,2,Married,Employed for wages,8,Atheist,5,5,4,3,5,3,4,4,4,3,4,3,3,3,4,3,1,1,1,3,1,1,4,3,3,1,4,5,5,29,Male,Hispanic/Latino,3,Living with partner,Employed for wages,5,Other,3,5,4,4,4,4,4,4,4,4,3,4,3,3,4,1,2,2,2,3,1,1,2,1,1,1,1,2,2,4,2,1,1,4,5,5,5,1,1,5,4,3,2,2,5,2,4,3,2,5,5,4,5,1,6,6,2,2,4,6,2,6,6,1,4,6,6,4,6,6,3,1,5,4,5,1,5,3,2,5,6,5,4,4,3,2,5,2,2,5,4,5,4,3,2,4,1.333333333,2,3.666666667,4.333333333,3.666666667,4,4,1.666666667,2.666666667,4,3.333333333,4,3.666666667,2,3,2.666666667,2.333333333,3.666666667,3,3,3,3.333333333,3.666666667,2.333333333,3.666666667,4,1,3.333333333,4.333333333,4.666666667,1.666666667,4.666666667,3.666666667,1.333333333,2.333333333,5.333333333,4,5.333333333,5.666666667,4,3.666666667,2.333333333,1,2.666666667,3.666666667,1.333333333,4.333333333,4.333333333,4.666666667,5,5,4,3.666666667,3.333333333,3,3,4,3,2.666666667,2.666666667,2,4,4,3,3.333333333,13,7.333333333,2,-0.666666667,6,8.666666667,18,10.66666667,8,5.666666667,15,16,15,16,13,14,9,10,0,1,1,0,2,6,1,1,4,1,0,0,0,2,0,1,1,1,1,1
558,20180830-191932_932,other,cre,cre,pro,emo,task,log,emo,emo,cre,0,1,A33RUN3NEBHW3D,0,2,1,1,A1JQ0UGI4PF89R,0,0,40,Female,White/Caucasian,6,Married,Employed for wages,11,Roman Catholic,3,1,4,4,4,4,2,4,3,2,4,3,2,2,2,5,2,2,2,1,2,3,1,1,1,2,4,4,4,28,Male,White/Caucasian,3,Married,Employed for wages,5,Protestant (Baptist Methodist Non-denominational etc.),1,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,2,2,2,4,1,1,2,3,3,1,1,1,1,4,4,2,2,3,4,5,4,2,1,5,5,5,2,1,2,3,4,2,3,2,5,4,3,1,6,6,2,3,4,5,3,6,6,6,3,6,6,4,6,5,1,1,3,2,6,3,6,4,4,6,6,5,4,3,4,6,5,3,4,5,3,5,4,5,4,5,5,5,3,3,5,5,5,3,4,4,4,5,2,1,4,2,2,1,2,4,5,3,4,2,1,1,1,1,1,1,1,1,1,6,1,6,4,6,6,5,3,4,3,4,6,5,4,6,6,6,6,5,5,4,5,5,3,1,3,5,3,4,4,3,2,10,8,5,9,10,3,13,14,12,10,16,16,11,16,9,14,12,12,4,3,1,1,1,1,0,0,2,1,0,0,6,0,0,1,1,1,1,1
559,20180830-192317_46,other,other,emo,emo,emo,other,log,log,emo,pro,0,1,A3T9K2RY06UO14,0,0,0,1,ATIAMDY7P54P,0,0,50,Female,Hispanic/Latino,5,Separated,Self-employed,4,Agnostic,1,2,2,2,2,3,1,1,1,2,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,62,Female,Black/African American,4,Married,Employed for wages,10,Protestant (Baptist Methodist Non-denominational etc.),3,4,4,4,4,4,4,4,4,5,5,4,4,2,3,1,1,1,1,2,1,1,3,3,3,1,1,1,1,3.307692308,3.692307692,3.461538462,3.153846154,3.076923077,3.461538462,3.615384615,3.538461538,3.153846154,3.230769231,3.461538462,3.461538462,3.461538462,3.307692308,2.923076923,3.461538462,3.307692308,3.076923077,3.153846154,3,3.538461538,3.384615385,3.230769231,3.153846154,3.076923077,3.538461538,4.384615385,3.384615385,3.538461538,3.153846154,3.846153846,3.153846154,3.769230769,3.692307692,3.307692308,3.307692308,3.307692308,3.692307692,3.615384615,4.230769231,3.846153846,3.692307692,3.076923077,4.076923077,4.384615385,4.384615385,3.538461538,4.153846154,3.692307692,3.230769231,3.615384615,3.153846154,3.384615385,3.153846154,3.307692308,3,3.230769231,3.153846154,2.769230769,2.615384615,2.538461538,3.153846154,3.538461538,3.692307692,3.153846154,3.230769231,4.5,4.5,1.5,2.5,3.5,4.5,5,5,1,1,4.5,5,4.5,3.5,1,3,3,3.5,1,2,5,4,2,4.5,3.5,3.5,3.5,2,2,4,2.5,4,3.5,3.5,4,3,4.5,5.5,5.5,6,5.5,4,1,4.5,1,4.5,5,3,5,5.5,5.5,6,4,4,6,3,2,5.5,2,4.5,4.5,4.5,4,4,1,1,4.230769231,12.5,4.230769231,4.5,9.076923077,6.5,10.23076923,12,4.153846154,9.5,9,16,5,17,8,13,10,6,4,0,2,1,0,3,1,0,0,0,0,0,9,0,0,0,7,4,2,1
560,20180830-194021_927,other,other,other,pro,task,cre,emo,emo,log,other,0,1,A22SRBEIZ7EFFP,0,0,0,1,AEZSDZ4PS9CAC,0.2,1,50,Male,White/Caucasian,6,Married,Employed for wages,12,Atheist,4,5,4,5,3,4,4,4,4,4,5,5,4,3,4,2,2,2,1,4,1,2,2,1,2,1,2,5,3,29,Female,White/Caucasian,4,Married,A homemaker,4,Protestant (Baptist Methodist Non-denominational etc.),2,4,4,4,4,4,4,4,4,4,5,4,4,4,4,2,2,4,2,4,1,1,2,2,2,1,4,4,4,4,5,4,2,2,5,4,4,1,1,4,3,4,4,1,3,1,4,1,2,4,5,3,5,1,5,5,2,4,2,6,2,6,6,1,4,5,6,4,6,5,3,3,6,2,5,1,6,3,1,5,6,6,4,3,4,3,6,3,2,2,3,5,5,1,1,2,2,1.833333333,4,4.166666667,3.5,4,4,2,2,4,4.166666667,4,1.833333333,1.833333333,4.166666667,2,2,2,2,3,4,2,2.833333333,2,5,5,4.833333333,5,5,5,5,5,5,6,5,5,5,5,5.833333333,5,4.166666667,4,4.333333333,4.5,4,5,5,5,5.166666667,5,5,2.666666667,2.333333333,2.333333333,2.333333333,2.333333333,4.833333333,2,4,4.166666667,4,4,4,1.833333333,1.833333333,11,7.5,9,-2.333333333,5,3.833333333,16,9.833333333,6,8.5,16,16,16,16,16,16,11,14,2,1,1,1,1,4,1,3,1,0,0,0,3,1,0,1,1,1,2,2
563,20180830-201035_956,other,other,other,emo,emo,task,cre,cre,log,log,0,1,ACP3L9X63GBRK,0,0,0,1,A2OBW9OO2S40T3,0.3,1,27,Male,White/Caucasian,4,Living with partner,Employed for wages,6,Agnostic,2,5,4,4,5,4,5,5,5,4,5,4,4,5,4,1,1,1,2,4,1,1,5,5,4,1,3,4,4,38,Male,White/Caucasian,3,Never been married,Self-employed,3,Orthodox (Greek Russian or some other Orthodox church),3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,1,1,4,4,4,1,4,4,4,4.6,4.2,4.3,1.9,1.6,3.1,1.8,1.9,3.6,4.6,5,5,4.8,1,1,4,1.8,2,1.2,2.3,2,4.9,4.1,3.7,1,4.4,4,2.3,4.5,6,3.6,1.2,6,4.9,1,5.9,2,4.9,5.9,5,5,4,1.4,1.4,1.9,2,1,5.7,3.9,1,2,5.2,6,4.9,4.9,6,6,3.4,1.6,4,2.2,1,4.3,4.6,4,1.1,3.222222222,3.888888889,2.888888889,2.111111111,3.666666667,4,4,4,2,2,3.888888889,4,4,2.111111111,1.777777778,2.444444444,3.555555556,3.555555556,3,3.444444444,4.333333333,3.777777778,2.888888889,3.888888889,2.222222222,4.444444444,4.888888889,2.888888889,3.777777778,3.222222222,4.777777778,2.111111111,4.777777778,5,2.888888889,2.777777778,5.222222222,5.111111111,4.333333333,5.111111111,5.111111111,2,3.555555556,1.888888889,1.888888889,1,2,4.222222222,2.666666667,2.444444444,4.666666667,5,5.111111111,4.555555556,4.666666667,4.222222222,4.555555556,3.555555556,1.666666667,2.666666667,4.444444444,2.666666667,3.888888889,3.555555556,3.777777778,3,-1.4,8,9.6,4.222222222,3.3,11.11111111,13.7,12.66666667,12.8,8,17,16,19,16,17,16,9,12,2,2,2,0,1,3,1,3,0,0,0,0,0,0,0,6,9,2,6,3
565,20180830-204841_559,other,other,cre,cre,task,other,task,task,other,other,0,1,AWJS64YIDUZ2L,0,0,0,1,ABWBWEGU3LH86,2,1,31,Male,White/Caucasian,4,Never been married,Employed for wages,4,Protestant (Baptist Methodist Non-denominational etc.),3,4,4,4,3,4,4,5,4,4,4,4,3,4,4,2,2,2,2,4,1,1,3,3,3,1,3,3,3,72,Female,White/Caucasian,2,Widowed,A homemaker,4,Roman Catholic,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,4,1,1,2,3,3,1,4,4,4,3.833333333,3.166666667,3,2.833333333,3.666666667,3.5,3.666666667,3,3,2,4.166666667,4,4,3,1.5,4.666666667,1.333333333,2.333333333,1,1,5,3.833333333,4.166666667,4,2,3.833333333,5.166666667,3.166666667,3,3,3.5,2,3.833333333,5.5,1.333333333,4.666666667,5,6,4,4.833333333,5.833333333,4.333333333,3.833333333,5.166666667,3.333333333,3.833333333,4.333333333,6,3,3.5,3.166666667,5.666666667,4.666666667,4.333333333,3,3,2.166666667,3,1.666666667,3.666666667,3.833333333,3.833333333,4,4,2,2.166666667,4,2,1,4,5,4,5,5,1,1,4,4,4,2,1,4,2,3,1,1,1,4,2,4,2,5,6,4,4,4,5,3,5,5,4,5,5,5,4,6,4,3,4,6,3,4,3,5,3,4,6,6,5,2,2,2,2,3,2,4,5,5,4,4,4,4,5.166666667,12,3.5,-2,1,3,15,9,7.666666667,9,15,12,17,12,15,16,12,8,0,2,0,0,3,5,1,4,0,0,0,0,2,0,0,3,5,3,1,1
566,20180830-212956_406,other,other,other,other,other,other,cre,cre,other,other,0,1,A33Z4DP3MJFIGN,0,0,0,1,A3A4ZU8D2RP6XK,0,0,25,Male,White/Caucasian,2,Living with partner,Self-employed,4,Other,2,4,3,5,4,5,4,3,4,4,4,4,4,5,4,4,5,4,4,3,2,3,4,5,4,2,4,4,4,18,Male,White/Caucasian,2,Never been married,A student,2,Agnostic,3,1,1,3,2,2,5,5,4,5,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,3,4,3.923076923,4,3.153846154,3.923076923,3.615384615,3.769230769,3.692307692,3.769230769,3.538461538,3.846153846,3.769230769,3.307692308,4,3.538461538,3.769230769,3.615384615,3.692307692,3.769230769,3.769230769,3.384615385,3.769230769,3.923076923,3.538461538,3.769230769,3.923076923,5,4.769230769,4.384615385,4.769230769,4.846153846,4.615384615,4.538461538,4.692307692,4.692307692,4.769230769,4.615384615,5,5,4.076923077,4.769230769,4.923076923,4.538461538,4.615384615,4.769230769,4.769230769,4.615384615,4.538461538,4.769230769,5,5.384615385,5.384615385,5.230769231,5.076923077,5.307692308,5.153846154,5.230769231,4.923076923,5,2,2.076923077,2.692307692,2.384615385,4,3.769230769,3.461538462,3.461538462,5,4.75,5,1.5,1.5,5,5,5,1,2.25,2.5,1.75,3.5,5,1.75,2.75,3.5,4.25,1.75,1.25,1.5,4.75,4,3.75,3.5,5,3.75,1,1.5,1,5.25,1,5,4,1,3,5.75,3.25,1.25,5.75,3.25,1,3,1.25,2.75,4.25,1,5.25,3,1,6,4.5,5,1.25,2,6,5.25,4.25,3.5,2,3.75,3.75,4.75,4.75,2,2.25,3.846153846,11.75,3.538461538,11.75,11,8,11.07692308,10.5,3.769230769,1,17,8,15,19,17,4,20,5,0,2,0,0,0,8,1,1,0,0,0,0,4,0,0,4,5,1,3,2
568,20180830-213440_640,other,cre,cre,cre,emo,cre,emo,log,log,log,0,1,A2ABFXJB7DKIBQ,0,0,0,1,A2QBBJCOCZPTYR,1,1,37,Female,White/Caucasian,2,Married,A homemaker,7,Atheist,5,5,4,4,4,4,5,5,5,5,5,4,4,3,4,1,1,1,1,3,1,4,2,4,5,3,3,3,3,63,Female,White/Caucasian,4,Married,Retired,10,Agnostic,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,5,1,1,4,5,4,1,4,3,4,1,1,1,2,4,4,5,3,2,2,4,3,3,4,2,2,3,5,2,4,5,4,3,5,1,5,5,1,3,2,5,1,6,5,1,3,6,6,3,6,4,5,1,5,3,3,1,6,2,1,5,6,5,6,6,1,1,4,2,3,4,3,5,5,2,2,5,5,3,1.666666667,3,5,5,5,1,2.666666667,5,5,5,1.666666667,1,5,1,3.333333333,1,1,4.333333333,5,4,4,3,4.333333333,3.666666667,5,5.333333333,5.666666667,6,4,6,4.666666667,2,3.333333333,4,4.666666667,6,6,4.666666667,3,3.666666667,1,2.666666667,4.666666667,1.666666667,3,3.666666667,4.333333333,3.666666667,3,2.666666667,2.333333333,2.666666667,3,3.666666667,2.666666667,2,2.333333333,5,3,5,5,4,4,8,11.33333333,-3,8.333333333,12,1.333333333,16,14.33333333,4,12.33333333,16,20,20,20,15,20,7,12,2,4,3,0,0,2,0,1,3,0,0,0,6,0,0,0,1,1,2,1
569,20180830-223344_362,other,other,cre,other,emo,task,task,log,pro,other,0,1,A2RGHUEITGT0MG,0,0.05,1,1,AFYOPEC2GMCLY,0.3,1,59,Male,Black/African American,3,Divorced,Employed for wages,6,Protestant (Baptist Methodist Non-denominational etc.),4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,5,5,5,1,4,5,5,30,Male,White/Caucasian,2,Never been married,Out of work and looking for work,9,Protestant (Baptist Methodist Non-denominational etc.),3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,1,1,1,2,4,1,2,3,1,5,1,3,4,4,5,5,4.7,1.6,3.3,5,5,5,1,1.8,5,3.9,5,1,1,3.9,1.1,1.3,1,1,1.5,5,1.9,3.7,1,5.8,5.7,5.5,5.9,5.7,5.8,5.6,5.7,5.9,5.6,5.8,5.4,5.9,6,6,5.8,5.8,2.3,5.5,5.9,6,5.8,5.1,5.9,5.6,5.7,5.8,5.7,5.7,1.9,5.4,5.9,6,1.2,4.6,5,5,5,4.4,1.6,1.9,2,1,1,5,5,5,4,3,1,1,5,5,5,4,2,2,4,5,3,2,5,4,1,4,2,6,6,4,4,6,6,1,6,6,6,6,6,6,5,6,5,3,3,5,2,4,6,6,2,2,6,6,5,4,3,2,2,4,2,5,5,3,5,5,2,3,12.2,10,9.8,-6,0.5,12,11.1,12,11.9,9,20,16,20,16,20,19,9,9,1,1,1,1,2,4,1,0,0,1,0,0,3,1,0,4,5,3,1,1
